Participant Name,Stream,Participation tier,Website/LinkedIn URL,Result,Company,Website,Industry,# Employees,Annual Revenue,Total Funding,Company Phone,Company Linkedin Url,Company Street,Company City,Company Postal Code,Company State,Company Country,Company Founded Year
EBC Inc.,3,Tier 6 - Committed,https://www.ebcinc.com/en/,Matched,EBC Inc.,http://www.ebcinc.com,construction,1100,39220000,30000000,+1 418-872-0600,http://www.linkedin.com/company/ebcinc,1095 Rue Valets,L'Ancienne-Lorette,G2E 4M7,Quebec,Canada,1968
Pomerleau Inc.,3,Tier 6 - Committed,https://pomerleau.ca/en,Matched,Pomerleau,http://www.pomerleau.ca,construction,2500,4300000000,147716050,+1 (902) 422-6921,http://www.linkedin.com/company/pomerleau-inc.,500 Rue St-Jacques,Montreal,H2Y 0A2,Quebec,Canada,1966
AECOM Canada Ltd,3,Tier 6 - Committed,https://aecom.com/ca/,Matched,AECOM,http://www.aecom.com,civil engineering,73000,905000000,"",+1 972-788-1000,http://www.linkedin.com/company/aecom,13355 Noel Road,Dallas,75240,Texas,United States,1990
PCL Canada,3,Tier 6 - Committed,https://www.pcl.com/ca/en/services/sustainable-construction-services,Matched,PCL Construction,http://www.pcl.com,construction,9700,6300000000,"",+1303-365-6500,http://www.linkedin.com/company/pcl-construction,9915 56 Avenue Northwest,Edmonton,T6E 5L7,Alberta,Canada,1906
Indigo Park Canada,3,Tier 6 - Committed,https://indigoneo.ca/en,Matched,Indigo Park Canada,http://www.indigoneo.ca,facilities services,180,14227000,"",1-613-232-4801--225,http://www.linkedin.com/company/indigo-park-canada,1 Place Ville Marie,Montreal,H3B 3Y1,Quebec,Canada,""
WSP Canada Inc.,3,Tier 6 - Committed,https://www.wsp.com/en-ca/,Matched,WSP,http://www.wsp.com,professional training & coaching,71000,14100000000,"",+1 514-340-0046,http://www.linkedin.com/company/wsp,1600 Boulevard Rene-Levesque O,Montreal,H3H 1P9,Quebec,Canada,1885
Aéroports de MontréalAeroport - Airport,3,Tier 6 - Committed,https://www.admtl.com/en/adm,Matched,ADM Aéroports de Montréal,http://www.admtl.com,airlines/aviation,630,220728000,"",+1 514-633-3333,http://www.linkedin.com/company/adm-aeroports-de-montreal,800 Place Leigh-Capreol,Dorval,H4Y 1G8,Quebec,Canada,1992
Colliers Project Leaders Inc.,3,Tier 6 - Committed,https://www.colliersprojectleaders.com/,Matched,Colliers Project Leaders | Canada,http://www.colliersprojectleaders.com,construction,400,"","",+1 705-791-1719,http://www.linkedin.com/company/colliers-project-leaders-canada,2720 Iris St,Ottawa,K2C,Ontario,Canada,1989
Canada Lands Company Limited,3,Tier 6 - Committed,https://www.clc-sic.ca/,Matched,Canada Lands Company / Société Immobilière du Canada,http://www.clc-sic.ca,real estate,200,"","",+1 416-214-1250,http://www.linkedin.com/company/clc-sic,1 University Ave,Toronto,M5J 2P1,Ontario,Canada,1995
BGIS Global Integrated Solutions Canada L.P.,3,Tier 6 - Committed,https://www.bgis.com/,Matched,BGIS,http://www.bgis.com,facilities services,5600,1900000000,"",+1 905-943-4100,http://www.linkedin.com/company/bgis,4175 14th Ave,Markham,L3R 0J2,Ontario,Canada,1992
GCT Global Container Terminals,3,Tier 6 - Committed,https://globalterminals.com/,Matched,GCT Global Container Terminals,http://www.globalterminals.com,maritime,360,18000000,23500000,+1604-267-5239,http://www.linkedin.com/company/global-container-terminals,2925 Virtual Way,Vancouver,V5M 4X5,British Columbia,Canada,2007
EllisDon Corporation,3,Tier 6 - Committed,https://www.ellisdon.com/corporate-sustainability,Matched,EllisDon,http://www.ellisdon.com,construction,4700,5000000000,"",+1905-896-8900,http://www.linkedin.com/company/ellisdon,2045 Oxford St E,London,N5V 2Z7,California,United States,1951
Mindwire Systems Ltd.,3,Tier 6 - Committed,https://www.mindwire.ca/,Matched,Mindwire Systems Ltd,http://www.mindwire.ca,information technology & services,34,75000000,"",+1 877-761-9436,http://www.linkedin.com/company/mindwire-systems-ltd-,1545 Carling Ave,Ottawa,K1Z 8P9,Ontario,Canada,2002
Accenture,3,Tier 6 - Committed,https://www.accenture.com/ca-en,Matched,Accenture,http://www.accenture.com,management consulting,733000,64099999000,"",+353 1 646 2000,http://www.linkedin.com/company/accenture,"",Dublin 2,"",County Dublin,Ireland,1989
CIMA Canada Inc.,3,Tier 6 - Committed,https://www.cima.ca/en/,Matched,CIMA+,http://www.cima.ca,telecommunications,2900,350000000,"",+1 514-337-2462,http://www.linkedin.com/company/cima-,3400 Boulevard du Souvenir,Laval,H7N,Quebec,Canada,1990
KPMG Canada,3,Tier 6 - Committed,N/A,N/A,"","","","","","","","","","","","","",""
Braya Renewable Fuels,1,Tier 6 - Committed,https://brayafuels.com/,Matched,Braya Renewable Fuels LP,http://www.brayafuels.com,oil & energy,92,11000000,375000000,"",http://www.linkedin.com/company/brayafuels,"",Come By Chance,A0B 1N0,Newfoundland and Labrador,Canada,1992
Serco Group Plc,3,Tier 6 - Committed,https://www.serco.com/,Matched,Serco,http://www.serco.com,information technology & services,50000,6200000000,"",+44-0-1256-745900,http://www.linkedin.com/company/serco,Griffin Way South,Hook,RG27 9,England,United Kingdom,1988
EY Canada,3,Tier 6 - Committed,https://www.ey.com/en_ca,Matched,EY,http://www.ey.com,professional training & coaching,350000,49400000000,"",+44 20 7951 2000,http://www.linkedin.com/company/ernstandyoung,6 More London Riverside,London,SE1,England,United Kingdom,1989
Stantec Inc.,3,Tier 6 - Committed,https://www.stantec.com/en,Matched,Stantec,http://www.stantec.com,design,30000,8300000,"",+1 780-917-7000,http://www.linkedin.com/company/stantec,10160 112 Street Northwest,Edmonton,T5K 2L6,Alberta,Canada,1954
Switzer-CARTY Transportation,3,Tier 6 - Committed,https://switzer-carty.com/,Matched,Switzer-CARTY Transportation,http://www.switzer-carty.com,transportation/trucking/railroad,210,25000000,"",+1 289-288-1366,http://www.linkedin.com/company/switzer-carty-transportation-inc-,1006 Plains Road East,Burlington,L7T 3Y8,Ontario,Canada,2011
Ledcor Industries Inc.,3,Tier 6 - Committed,https://www.ledcor.com/,Matched,Ledcor,http://www.ledcor.com,construction,6900,3700000000,"",+1 604 681 7500,http://www.linkedin.com/company/ledcor,1055 W Hastings St,Vancouver,V6E 2E9,British Columbia,Canada,1947
CompuCom Systems Inc,3,Tier 6 - Committed,https://www.compucom.com/,Matched,Compucom,http://www.compucom.com,information technology & services,8600,2900000000,"",+1 803-228-7400,http://www.linkedin.com/company/compucom,8106 Calvin Hall Road,Fort Mill,29707,South Carolina,United States,1987
Dexterra Group,3,Tier 6 - Committed,https://dexterra.com/,Matched,Horizon North,http://www.dexterra.com,oil & energy,730,103200000,"",+1-416-483-5152,http://www.linkedin.com/company/horizon-north-logistics-inc,5915 Airport Rd,Mississauga,L4V 1T1,Ontario,Canada,2006
Ericsson Canada,3,Tier 3 - Gold,https://www.ericsson.com/en,Matched,Ericsson,http://www.ericsson.com,telecommunications,108000,26910000000,"",+46 10 719 00 00,http://www.linkedin.com/company/ericsson,21 Torshamnsgatan,Stockholm,164 40,Stockholms laen,Sweden,1876
